order_number,row_number,cart_number_frame,cart_location_nr,width,height,depth,weight,pallet_marking
74842437,5,100,1,1190,990,180,40,1
74842437,5,100,2,1190,990,180,40,1
74055998,25,200,1,1990,1790,92,97,1
74055998,25,200,2,1990,1790,92,97,1
74055998,30,200,3,1990,1790,92,92,1
74055998,30,200,4,1990,1790,92,92,1
74055998,30,200,5,1990,1790,92,92,1
74055998,30,200,6,1990,1790,92,92,1
74055998,30,200,7,1990,1790,92,92,1
74055998,35,200,8,2790,1790,92,125,1
74055998,35,201,1,2790,1790,92,125,1
74055998,40,201,2,1990,1790,92,97,1
74055998,40,201,3,1990,1790,92,97,1
74055998,40,201,4,1990,1790,92,97,1
74449215,10,201,5,1390,1190,92,58,54001970
74449215,12,201,6,1390,1190,92,58,54001970
74449215,15,201,7,1490,1190,92,62,54001970
74449215,18,201,8,1490,1190,92,62,54001970
74449215,20,202,1,1390,2090,92,93,54001970
74449215,40,202,2,1490,1190,92,62,54329651
74449215,40,202,3,1490,1190,92,62,54329651
74449215,42,202,4,1490,1190,92,62,54329651
74449215,45,202,5,1390,2090,92,93,54329651
74449215,45,202,6,1390,2090,92,93,54329651
74449215,50,202,7,1390,2090,92,106,54329651
74449215,50,202,8,1390,2090,92,106,54329651
74580286,10,203,1,940,1790,92,41,1
74580286,10,203,2,940,1790,92,41,1
73990461,115,203,3,1690,2190,92,168,1
73990461,120,203,4,1690,994,92,62,1
73990461,125,203,5,1690,2190,92,168,1
75039043,5,203,6,690,2090,92,42,1
73859386,5,203,7,1190,1690,92,66,1
73859386,5,203,8,1190,1690,92,66,1
73859386,5,204,1,1190,1690,92,66,1
73990459,5,204,2,2190,1190,92,69,1
73990459,5,204,3,2190,1190,92,69,1
73990459,5,204,4,2190,1190,92,69,1
73990459,10,204,5,1390,790,92,32,1
73990459,10,204,6,1390,790,92,32,1
75694408,10,204,7,790,1690,92,45,1
75694408,10,204,8,790,1690,92,45,1
75694408,15,205,1,2090,2090,184,181,1
75694408,20,205,3,1490,490,92,25,1
75694408,20,205,4,1490,490,92,25,1
75694408,25,205,5,590,490,92,13,1
75694408,30,205,6,890,990,92,35,1
75694408,30,205,7,890,990,92,35,1
75694408,30,205,8,890,990,92,35,1
74514752,15,206,1,790,1090,92,32,1
74514752,15,206,2,790,1090,92,32,1
74514752,15,206,3,790,1090,92,32,1
74514752,20,206,4,1690,1090,92,63,1
74514752,20,206,5,1690,1090,92,63,1
74514752,20,206,6,1690,1090,92,63,1
74514752,20,206,7,1690,1090,92,63,1
74514752,20,206,8,1690,1090,92,63,1
74514752,25,207,1,1090,2090,92,74,1
74514752,25,207,2,1090,2090,92,74,1
74514752,30,207,3,1090,2090,92,74,1
74514752,40,207,4,990,2090,92,67,1
74514752,45,207,5,1790,2090,92,170,1
74514752,45,207,6,1790,2090,92,170,1
74514752,50,207,7,1790,1990,92,,1
74514752,55,207,8,1790,1990,92,,1
74907968,5,208,1,1990,890,92,43,1
74580292,5,208,2,690,1190,92,23,1
74383679,15,208,3,1190,1190,222,46,1
74383679,20,208,4,890,1190,222,36,1
74383679,20,208,5,890,1190,222,36,1
74318140,5,208,6,690,1190,92,23,1
74318140,10,208,7,690,1190,92,23,1
74318140,15,208,8,490,1190,92,18,1
73728317,7,300,1,1690,1990,253,123,629998659
73728317,8,300,2,1490,1990,253,108,629998659
73728317,9,300,3,990,1990,253,73,629998659
73728317,10,300,4,3490,790,253,95,629998659
73728317,11,300,5,890,1390,253,47,629998659
73728317,12,300,6,1090,2290,253,90,629998659
73728317,13,300,7,2290,2290,253,213,629998659
73728317,15,301,1,1490,1990,253,109,630064196
73728317,16,301,2,990,1990,253,75,630064196
73728317,17,301,3,990,1990,253,65,630064196
73728317,18,301,4,2290,2290,253,213,630064196
73728317,20,301,6,1990,1990,253,181,630129733
73728317,21,301,7,890,1990,253,64,630129733
73728317,22,301,8,1090,2290,253,90,630129733
73728317,24,302,1,1490,1990,253,114,630195270
73728317,25,302,2,1490,1990,253,133,630195270
73728317,26,302,3,690,1390,253,73,630195270
73728317,27,302,4,990,1990,253,89,630195270
73728317,28,302,5,3490,590,253,95,630195270
73728317,29,302,6,990,1990,253,65,630195270
73728317,30,302,7,890,1390,253,52,630195270
73728317,31,302,8,1490,1990,253,135,630195270
73728317,45,303,1,690,1190,263,40,630195270
73728317,50,303,2,1090,2290,253,114,630195270
73728317,55,303,3,2290,2290,253,213,630195270
73728317,65,303,5,1490,1990,253,108,631243845
73728317,68,303,6,1690,1990,253,123,631243845
73728317,69,303,7,1190,1790,253,79,631243845
73728317,70,303,8,990,1990,253,65,631243845
73728317,71,304,1,3490,790,253,95,631243845
73728317,72,304,2,890,1390,253,47,631243845
73728317,73,304,3,1090,2290,253,90,631243845
73728317,74,304,4,2290,2290,253,213,631243845
73728317,77,304,6,1490,1990,253,109,631309382
73728317,78,304,7,1490,1990,253,109,631309382
73728317,79,304,8,990,1990,253,75,631309382
73728317,80,305,1,1590,1990,253,101,631309382
73728317,81,305,2,890,1990,253,64,631309382
73728317,82,305,3,2290,2290,253,213,631309382
73728317,84,305,5,1490,1990,253,114,631374919
73728317,85,305,6,1490,1990,253,116,631374919
73728317,88,305,7,690,1390,253,73,631374919
73728317,89,305,8,990,1990,253,89,631374919
73728317,90,306,1,3490,590,253,95,631374919
73728317,91,306,2,990,1990,253,65,631374919
73728317,92,306,3,890,1390,253,52,631374919
73728317,93,306,4,1490,1990,253,133,631374919
73728317,94,306,5,690,1190,263,40,631374919
73728317,95,306,6,1090,2290,253,114,631374919
73728317,96,306,7,2290,2290,253,213,631374919
73728317,98,307,1,1490,1990,253,108,632489031
73728317,99,307,2,1690,1990,253,123,632489031
73728317,100,307,3,1190,1790,253,79,632489031
73728317,101,307,4,990,1990,253,65,632489031
73728317,102,307,5,3490,790,253,95,632489031
73728317,103,307,6,890,1390,253,47,632489031
73728317,104,307,7,1090,2290,253,90,632489031
73728317,105,308,1,2290,2290,253,213,632489031
73728317,107,308,3,1490,1990,253,109,632554568
73728317,108,308,4,1490,1990,253,109,632554568
73728317,109,308,5,990,1990,253,75,632554568
73728317,110,308,6,1590,1990,253,101,632554568
73728317,111,308,7,890,1990,253,64,632554568
73728317,113,309,1,2290,2290,253,213,632554568
73728317,115,309,3,1490,1990,253,114,632620105
73728317,116,309,4,1490,1990,253,116,632620105
73728317,117,309,5,690,1390,253,73,632620105
73728317,118,309,6,990,1990,253,89,632620105
73728317,119,309,7,3490,590,253,95,632620105
73728317,120,309,8,990,1990,253,65,632620105
73728317,121,310,1,890,1390,253,52,632620105
73728317,122,310,2,1490,1990,253,133,632620105
73728317,123,310,3,690,1190,263,40,632620105
73728317,124,310,4,1090,2290,253,114,632620105
73728317,125,310,5,2290,2290,253,213,632620105
73728317,128,310,7,1490,1990,253,108,633734217
73728317,129,310,8,1690,1990,253,123,633734217
73728317,130,311,1,1190,1790,253,79,633734217
73728317,131,311,2,990,1990,253,73,633734217
73728317,132,311,3,3490,790,253,95,633734217
73728317,133,311,4,890,1390,253,47,633734217
73728317,134,311,5,1090,2290,253,90,633734217
73728317,135,311,6,2290,2290,253,213,633734217
73728317,137,311,8,1490,1990,253,109,633799754
73728317,138,312,1,1490,1990,253,109,633799754
73728317,139,312,2,990,1990,253,75,633799754
73728317,140,312,3,1590,1990,253,101,633799754
73728317,141,312,4,1990,1990,253,200,633799754
73728317,142,312,5,890,1990,253,64,633799754
73728317,143,312,6,1090,2290,480,90,633799754
73728317,144,312,7,2290,2290,253,235,633799754
73728317,146,313,1,2290,2290,253,213,633799754
73728317,150,313,3,1490,1990,253,108,634979403
73728317,155,313,4,1690,1990,253,123,634979403
73728317,160,313,5,1490,1990,253,108,634979403
73728317,165,313,6,1990,1990,253,181,634979403
73728317,170,313,7,1990,1990,253,181,634979403
73728317,170,313,8,1990,1990,253,181,634979403
73728317,170,314,1,1990,1990,253,181,634979403
73728317,175,314,2,1190,1990,253,77,634979403
73728317,180,314,3,890,1390,253,47,634979403
73728317,185,314,4,990,1990,253,70,634979403
73728317,190,314,5,2290,2290,253,213,634979403
73728317,195,314,7,1090,2290,253,90,634979403
73728317,200,315,1,2290,2290,253,213,634979403
73728317,200,315,3,2290,2290,253,213,634979403
75104578,5,315,5,1590,1090,220,57,1
74645822,5,315,6,890,1190,226,38,1
75366725,15,315,7,390,2090,104,30,1
76022088,5,315,8,890,1990,138,51,1
73990458,5,316,1,990,990,180,31,1
75563334,5,316,2,1190,1590,175,59,1
75563334,10,316,3,790,1590,175,37,1
75235650,5,316,4,890,1190,226,38,1
75235650,10,316,5,840,1210,226,,1
75235650,15,316,6,840,1210,226,,1
74973510,5,316,7,1190,1190,174,45,1
74973510,5,316,8,1190,1190,174,45,1
74973510,15,317,1,1650,1140,174,,1
74973510,20,317,2,1650,1140,174,,1
74383679,5,317,3,1090,1190,193,41,1
74383679,10,317,4,1090,1090,180,38,1
74383679,10,317,5,1090,1090,180,38,1
75563336,5,317,6,790,1290,208,37,1
75563336,5,317,7,790,1290,208,37,1
75563336,5,317,8,790,1290,208,37,1
75563336,5,318,1,790,1290,208,37,1
75563336,5,318,2,790,1290,208,37,1
75563336,5,318,3,790,1290,208,37,1
73531705,5,318,4,790,1990,212,54,1
74907967,5,318,5,1490,2090,210,90,1
74907967,10,318,6,1090,1090,212,41,1
74907970,10,318,7,1930,2060,184,132,1
74252604,10,319,1,990,2090,92,56,1
74514750,5,319,2,2690,590,92,47,1
75563336,5,319,3,790,1190,92,29,1
75039045,5,319,4,1590,1990,92,79,1
74842433,10,319,5,1390,1990,92,72,1
75104580,5,319,6,590,490,92,10,1
74842432,10,319,7,1090,1390,92,50,1
74776894,5,319,8,1990,990,92,55,1
76218697,5,320,1,870,2090,92,62,1
74580289,5,320,2,1390,490,92,21,1
74711362,5,320,3,1190,790,92,24,1
73924925,5,320,4,465,1290,92,28,1
73924925,5,320,5,465,1290,92,28,1
74580287,5,320,6,890,1090,92,29,1
74580287,5,320,7,890,1090,92,29,1
75170117,20,320,8,1050,1050,92,40,1
75170117,20,321,1,1050,1050,92,40,1
75694411,5,321,2,1190,790,92,26,1
